"nome";"versao";"repeticao";"argumentos";"tempo_geracao_s";"tempo_escrita_s";"threads_usadas";"tempo_minimo_thread_s";"tempo_medio_thread_s";"tempo_maximo_thread_s";"fator_maximo_medio"
"zoom_static_t8_c1";"openmp";"1";"--threads 8 --schedule static --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.803000";"0.752000";"8";"0.793000";"0.797125";"0.802000";"1.006116"
"zoom_static_t8_c1";"openmp";"2";"--threads 8 --schedule static --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.805000";"0.391000";"8";"0.788000";"0.794750";"0.804000";"1.011639"
"zoom_static_t8_c1";"openmp";"3";"--threads 8 --schedule static --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.818000";"0.428000";"8";"0.792000";"0.803750";"0.817000";"1.016485"
"zoom_static_t8_c1";"openmp";"4";"--threads 8 --schedule static --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.814000";"0.414000";"8";"0.792000";"0.800750";"0.813000";"1.015298"
"zoom_static_t8_c1";"openmp";"5";"--threads 8 --schedule static --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.808000";"0.414000";"8";"0.791000";"0.799375";"0.807000";"1.009539"
