"nome";"versao";"repeticao";"argumentos";"tempo_geracao_s";"tempo_escrita_s";"threads_usadas";"tempo_minimo_thread_s";"tempo_medio_thread_s";"tempo_maximo_thread_s";"fator_maximo_medio"
"oficial_static_t8_c64";"openmp";"1";"--threads 8 --schedule static --chunk 64";"2.649000";"0.409000";"8";"2.351000";"2.484375";"2.648000";"1.065862"
"oficial_static_t8_c64";"openmp";"2";"--threads 8 --schedule static --chunk 64";"2.781000";"0.394000";"8";"2.374000";"2.539375";"2.780000";"1.094758"
"oficial_static_t8_c64";"openmp";"3";"--threads 8 --schedule static --chunk 64";"2.746000";"0.390000";"8";"2.473000";"2.563500";"2.744000";"1.070412"
"oficial_static_t8_c64";"openmp";"4";"--threads 8 --schedule static --chunk 64";"2.641000";"0.399000";"8";"2.353000";"2.475750";"2.640000";"1.066344"
"oficial_static_t8_c64";"openmp";"5";"--threads 8 --schedule static --chunk 64";"2.653000";"0.398000";"8";"2.349000";"2.480625";"2.652000";"1.069085"
