"nome";"versao";"repeticao";"argumentos";"tempo_geracao_s";"tempo_escrita_s";"threads_usadas";"tempo_minimo_thread_s";"tempo_medio_thread_s";"tempo_maximo_thread_s";"fator_maximo_medio"
"zoom_dynamic_t8_c1";"openmp";"1";"--threads 8 --schedule dynamic --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.809000";"0.388000";"8";"0.807000";"0.807625";"0.809000";"1.001703"
"zoom_dynamic_t8_c1";"openmp";"2";"--threads 8 --schedule dynamic --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.833000";"0.404000";"8";"0.830000";"0.831250";"0.833000";"1.002105"
"zoom_dynamic_t8_c1";"openmp";"3";"--threads 8 --schedule dynamic --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.838000";"0.390000";"8";"0.834000";"0.835500";"0.837000";"1.001795"
"zoom_dynamic_t8_c1";"openmp";"4";"--threads 8 --schedule dynamic --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.846000";"0.408000";"8";"0.843000";"0.843875";"0.845000";"1.001333"
"zoom_dynamic_t8_c1";"openmp";"5";"--threads 8 --schedule dynamic --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.836000";"0.442000";"8";"0.832000";"0.833875";"0.835000";"1.001349"
