"nome";"versao";"repeticao";"argumentos";"tempo_geracao_s";"tempo_escrita_s";"threads_usadas";"tempo_minimo_thread_s";"tempo_medio_thread_s";"tempo_maximo_thread_s";"fator_maximo_medio"
"oficial_dynamic_t8_c1";"openmp";"1";"--threads 8 --schedule dynamic --chunk 1";"1.986000";"0.364000";"8";"1.984000";"1.984125";"1.985000";"1.000441"
"oficial_dynamic_t8_c1";"openmp";"2";"--threads 8 --schedule dynamic --chunk 1";"2.021000";"0.393000";"8";"2.019000";"2.019375";"2.020000";"1.000309"
"oficial_dynamic_t8_c1";"openmp";"3";"--threads 8 --schedule dynamic --chunk 1";"2.125000";"0.388000";"8";"2.124000";"2.124000";"2.124000";"1.000000"
"oficial_dynamic_t8_c1";"openmp";"4";"--threads 8 --schedule dynamic --chunk 1";"2.090000";"0.380000";"8";"2.089000";"2.089000";"2.089000";"1.000000"
"oficial_dynamic_t8_c1";"openmp";"5";"--threads 8 --schedule dynamic --chunk 1";"2.102000";"0.381000";"8";"2.101000";"2.101000";"2.101000";"1.000000"
