"nome";"versao";"repeticao";"argumentos";"tempo_geracao_s";"tempo_escrita_s";"threads_usadas";"tempo_minimo_thread_s";"tempo_medio_thread_s";"tempo_maximo_thread_s";"fator_maximo_medio"
"forte_static_t2_c1";"openmp";"1";"--threads 2 --schedule static --chunk 1";"6.128000";"0.355000";"2";"6.123000";"6.125000";"6.127000";"1.000327"
"forte_static_t2_c1";"openmp";"2";"--threads 2 --schedule static --chunk 1";"6.427000";"0.364000";"2";"6.403000";"6.414000";"6.425000";"1.001715"
"forte_static_t2_c1";"openmp";"3";"--threads 2 --schedule static --chunk 1";"6.891000";"0.439000";"2";"6.890000";"6.890000";"6.890000";"1.000000"
"forte_static_t2_c1";"openmp";"4";"--threads 2 --schedule static --chunk 1";"6.860000";"0.379000";"2";"6.843000";"6.851500";"6.860000";"1.001241"
"forte_static_t2_c1";"openmp";"5";"--threads 2 --schedule static --chunk 1";"6.599000";"0.361000";"2";"6.595000";"6.596500";"6.598000";"1.000227"
