"nome";"versao";"repeticao";"argumentos";"tempo_geracao_s";"tempo_escrita_s";"threads_usadas";"tempo_minimo_thread_s";"tempo_medio_thread_s";"tempo_maximo_thread_s";"fator_maximo_medio"
"zoom_guided_t8_c1";"openmp";"1";"--threads 8 --schedule guided --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.923000";"0.410000";"8";"0.841000";"0.857250";"0.922000";"1.075532"
"zoom_guided_t8_c1";"openmp";"2";"--threads 8 --schedule guided --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.922000";"0.428000";"8";"0.840000";"0.851125";"0.921000";"1.082097"
"zoom_guided_t8_c1";"openmp";"3";"--threads 8 --schedule guided --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.928000";"0.403000";"8";"0.863000";"0.872000";"0.927000";"1.063073"
"zoom_guided_t8_c1";"openmp";"4";"--threads 8 --schedule guided --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.934000";"0.416000";"8";"0.850000";"0.862500";"0.933000";"1.081739"
"zoom_guided_t8_c1";"openmp";"5";"--threads 8 --schedule guided --chunk 1 --largura 4096 --altura 4096 --max-iter 5000 --re-min -0.745143887 --re-max -0.742143887 --im-min 0.130325904 --im-max 0.133325904";"0.936000";"0.389000";"8";"0.852000";"0.864375";"0.935000";"1.081706"
