"nome";"versao";"repeticao";"argumentos";"tempo_geracao_s";"tempo_escrita_s";"threads_usadas";"tempo_minimo_thread_s";"tempo_medio_thread_s";"tempo_maximo_thread_s";"fator_maximo_medio"
"oficial_serial";"serial";"1";"";"11.625000";"0.962000";"";"";"";"";""
"oficial_serial";"serial";"2";"";"11.753000";"0.977000";"";"";"";"";""
"oficial_serial";"serial";"3";"";"11.970000";"1.472000";"";"";"";"";""
"oficial_serial";"serial";"4";"";"11.849000";"1.333000";"";"";"";"";""
"oficial_serial";"serial";"5";"";"11.875000";"1.386000";"";"";"";"";""
